Width,Length,Species
2.5854077468196155,2.8626448793293853,0
4.296350047608336,5.5051805762509805,2
5.976095466513659,7.316053312743244,2
2.540665265446904,6.144727690748844,2
5.158043567867787,2.9515628356673647,1
5.14810273994999,3.626780036371602,1
3.0387282344449837,6.7544789909251906,2
5.381943458084849,3.3074385100060795,1
2.4016072730075315,3.4482323173468163,0
4.878034191115564,2.99419602197777,1
3.9748080343497585,2.331260098252566,1
5.312218480828692,2.4798459874032295,1
1.5905509682915047,3.5236000691828013,0
3.539851896776536,3.2069715336835247,0
4.685611283638772,5.0537248400253665,2
2.193966422030263,4.246850909191395,0
4.3291435172270925,2.3871907938797543,1
4.87078686113495,5.711357489374268,2
7.484690217190135,3.6951125533667923,2
1.074402253753922,3.78363422902884,0
5.405989999751409,2.990382227399985,1
3.192529316495402,10.730253452001577,2
5.5996401812561265,2.7783400860279586,1
1.0954170809295471,2.256766378898792,0
3.9374452384714314,3.534972864244386,0
3.3858718153331426,9.06630025966029,2
3.7734003466843893,3.144238228866188,0
4.482666675629263,6.987783880795831,2
1.8470400934316347,5.166327791324658,0
4.6648617991298345,3.8825340293538213,1
2.4722403434206877,2.917191494744092,0
2.665661111647518,2.712890709736828,0
4.223960658947235,1.768152220924151,0
4.603572018472066,3.268524979517726,1
3.5746036561696313,2.210373795820442,0
2.961243968638889,3.1218046517693683,0
2.700345366623439,2.822451202707605,2
1.9935143870714152,2.6793213292963878,0
3.060392712109746,1.5173727766409009,0
6.392988083315453,4.933849454988633,2
3.2335666666032123,2.0344969023357766,0
5.851583992434538,3.1252732304903263,1
6.463029321283023,7.724126745084517,2
-1.0627807293562874,7.327623408378425,2
5.4583207151080835,5.731319895633699,2
3.3020936347015923,11.965097504696264,2
1.5369023813078178,2.4094759956829357,0
7.988936010899503,3.4736940845585886,2
4.205362385607823,6.452225582988188,2
2.593040599177086,3.8818460453435355,0
4.249329372051181,2.9583065473242605,1
2.537362268902118,4.197735563316764,0
2.584299312051333,2.455531130361897,0
5.261823077889146,2.5898905588058985,1
5.310285364022375,4.8840914836579215,2
2.6503152664594194,3.5887891870261184,0
3.4143405637454425,3.35719596666213,2
2.6206485709553204,2.8782375810815255,0
4.8552708573549035,3.3453333722868965,1
4.924107148488406,2.872255481002651,1
3.363647418941663,3.821595730630605,0
5.191113618044764,3.0447850392773623,1
6.972461924518294,3.6225360865889127,2
5.331730865673453,2.879544835711074,1
4.258642192050907,2.721845050783515,0
3.5436967296533766,4.4340206121679095,0
2.2310882555262186,4.57582361819575,0
4.828327493343344,3.5057037583404416,1
1.1181963019556582,3.2355282038079785,0
3.746955780868953,7.286113495375547,2
3.740279346023582,2.754854946192512,0
4.761004832958863,3.6127665965435085,1
4.692065686792578,3.3958635639389536,1
4.3655541829095,5.718523454914368,2
5.016318160748263,4.618984410575605,2
4.3081415211259415,3.4821432946432225,1
4.759228003488967,1.9622080805505946,1
3.391166072333967,4.467007808367844,0
5.466652995704293,2.879439623906955,1
5.370869458141631,2.93992681615644,1
0.14609884405844875,5.000133846643129,0
5.04837780545001,2.9126355203783887,1
2.1201924922525626,4.309352748293864,2
3.1793452204530985,8.277030458293469,2
4.8061852373981555,3.5730580266119625,1
2.7404753518200566,2.982304765027517,0
1.0043744855295347,6.868916809868216,2
2.3326421028670388,5.896021495758843,2
4.55180233978479,2.4965060344163907,1
2.2187620628572873,3.9837480023810583,0
5.009126957702299,2.5087643765842014,1
0.9610332325868471,3.850993169305073,0
1.949059224954286,3.7690576533326845,0
5.0551142859938585,3.9277043628818538,2
4.052670230539112,2.6470136404356306,0
2.039016310863314,4.467346779066608,0
5.343297754245658,2.2471438420912957,0
5.166325011595793,2.5729532669545625,1
5.742420686153013,2.6343908321822167,1
4.706508365267573,3.465436909026855,1
4.11236141335927,3.00211712948423,1
3.5651732449666422,2.0488523023664063,0
4.277475627927854,3.386719751619494,1
1.0009250575836597,3.2524394815698767,0
4.729656098672109,2.9884634922959905,1
4.269233394811503,8.30631653680817,2
4.716991897726551,7.245030940072706,2
7.821599183290566,6.28879558327061,2
5.104988625896534,2.4354253410665243,1
4.520771083815617,3.1674486817781067,1
7.722931627887469,8.41494738062739,2
5.022208186766101,2.7080937003852443,1
2.8012217637574017,2.6361397040884187,0
4.098743819100579,6.913403440637518,2
4.164635525111017,6.93163332631852,2
6.214100997812462,4.393633970144504,2
2.187861415526095,2.8088440768115435,0
2.7059834547289014,9.465802778664836,2
5.116168709943485,2.4603085959660143,1
2.848541900497589,0.8956259982204702,0
3.354470902902338,4.698499749105748,0
5.037243807424585,2.6186836149852164,1
5.712718514917872,1.8121667634674994,2
4.849363520943358,2.3388688481463857,1
3.1517743684205084,3.2200699472784726,0
1.3890161834319283,2.220765588441307,0
2.4449827302532725,3.0124468214369613,0
4.918973426481419,7.164338174880565,2
0.2344948010628891,2.6409331322937653,2
4.059876099194224,2.4792384584439877,0
4.460862572405847,2.800536968696924,1
5.555988053951887,4.021905625379563,1
5.899807968211762,2.467774913840924,1
5.982675142519902,3.1064361040562463,1
1.7773460291809737,4.263608435650267,0
4.297281283043026,3.3608138681050046,1
2.296112009297945,1.8791394191489148,0
2.726775591336627,3.1285049630966553,0
3.681881839226566,9.09946400202772,2
7.157486267214532,8.520941977753813,2
2.1764718742159843,7.21617457178518,2
5.2033929291028205,3.5812313340105275,1
4.474850995599498,3.7904592075053714,0
4.412161149148042,2.899460019143293,1
4.869075658747036,2.3260069384106252,1
3.283193157020011,7.123786331237677,2
2.7352146587454422,4.67971529383121,2
-0.903269438670927,5.713632127448271,2
4.7238339146423485,3.0980199644163893,1
3.6559770189085232,5.865688634139569,2
6.024018093648546,2.950346419856841,1
2.958376581804875,5.187026848378068,2
1.7598481972789073,2.221727347366352,2
4.634372934268205,3.5549468655478837,1
3.370909991296302,3.8731750716134936,1
4.7791261666191795,3.2480573975441427,1
3.9572667677463644,2.901521364127913,2
2.458379932855805,4.07936979008152,2
3.342997817280398,1.9356143261828427,0
5.4534037066006675,2.758423489698607,1
5.492378967590038,7.709623927949645,2
4.912844025859965,3.727763277228212,2
3.909643982194494,7.169063487728482,2
2.166336465779688,5.932477231133909,2
1.823859983565395,2.193201292832057,0
4.995219895895104,2.5814940585051085,1
5.963396117266431,2.5449412084893015,1
5.080224026856811,3.0590627755562134,1
3.290794907919637,4.332264635787614,0
1.7342624158061668,3.374045203824491,0
5.638189390939197,2.385790968982887,1
5.373000347888415,3.1546664757336993,1
3.538023995865672,3.100415424301381,0
4.661104763608339,2.996130166906409,1
3.9637435470107723,6.027215798025299,0
3.072962363543005,4.7145063296846486,2
3.883894451818893,4.60362712518204,0
2.9486482312085105,6.347893524477963,2
4.133608532941973,3.008811035742032,1
5.824712530936174,7.860387000025891,2
3.4801144795677725,4.399290485329914,2
5.553907757457983,5.490400735353477,2
2.3423685157984586,3.2838079374376585,0
5.0283609411224495,2.671471914823648,1
5.052307675163111,2.4928058846255414,1
3.4638011028669675,3.941642228619533,2
3.0175730503079867,6.277241836665464,2
3.456450062916263,3.423440741119081,0
5.495128148432118,3.428620445382571,2
4.0677065769231255,3.828517657745209,1
5.011851336911047,3.063338959263139,1
5.056714351545148,3.130436018512205,1
5.369077837916562,3.9796025880456125,1
3.918226786077308,2.412591160088376,0
4.286076257477294,3.147217117657113,1
5.076254081093766,3.6167669897177226,1
3.881660827132012,7.610468908597673,2
7.487257621271741,4.420762395486592,2
2.7860139874173764,2.5517640405187967,0
5.38900166022171,2.3439522615230524,1
4.289846331598178,7.375496039428095,2
7.1562650796081915,3.80578188655852,2
